Teff,logg,u,g,r,i,z,u_s,g_s,r_s,i_s,z_s
7250,7.25,-0.053658494986052574,0.007737662005581569,0.008904293891660586,0.00603002311081724,0.0422033822107295,-0.03972071210960593,-0.004172029230858243,0.001844788167609579,2.394468145183737e-05,0.04268468706298023
7250,7.5,-0.05187166630909701,0.007892671908969362,0.008926487946816053,0.006020795453984817,0.04209834557720882,-0.03837160229091552,-0.004181018146645954,0.0018708181502873344,2.4520253894877442e-05,0.04257986702844363
7250,7.75,-0.05069941762580754,0.008023961382228606,0.008961038225905327,0.006004713571954312,0.04194139922262252,-0.037481956170758224,-0.004150858736515772,0.001906878194915862,2.1427896314207828e-05,0.042422000208837574
7250,8.0,-0.050159692490254315,0.00812175204769261,0.008977565422590317,0.0059907281087348,0.041743279245224585,-0.037057265875887424,-0.004112561243154289,0.0019338753040329948,1.9680053732429315e-05,0.0422226812942057
7250,8.25,-0.04994092453853227,0.008210414331806248,0.008958247364617478,0.0059754941839003095,0.04153174230199852,-0.03687476366874165,-0.0040402681176558985,0.0019423675714307365,1.7584284684346585e-05,0.04200911282522668
7250,8.5,-0.04978538890559747,0.008281523750831354,0.008854354196429881,0.005962408383368256,0.041309795951768535,-0.03674161458246772,-0.003976633009166619,0.0019027382494343215,1.6494283372026075e-05,0.04178478431718702
7250,8.75,-0.04989589763243174,0.00836674297645601,0.008735293640611985,0.0059518082600078515,0.04106040409046585,-0.03680647310480367,-0.0039255265849007515,0.0018587304138080185,1.9325935625147395e-05,0.04153054298097203
7250,9.0,-0.05044591233453133,0.008444407056614978,0.008669998396271694,0.005938290362166754,0.040722877111072364,-0.03719927819908264,-0.0038674199402777276,0.001853266451028901,2.3430443071958962e-05,0.04118719903050305
7250,9.25,-0.05162796182744245,0.00845854891117881,0.008580211917305292,0.005918030201584656,0.040337720522344966,-0.03805477036638649,-0.003820334935021208,0.001831587981747873,2.2978579202970195e-05,0.04079645171746904
7250,9.5,-0.053345631298519436,0.008491419947340262,0.008364083464527994,0.005904175629147801,0.040001505806834814,-0.03930465354156354,-0.003831530405200567,0.0017339593341887394,2.6983190757334796e-05,0.04045367780356912
