Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5250,6.75,-4.349041664381193,-4.820159497150005,0.4711178327688117,-7.079178431320102,-7.2350202860002675,0.15584185468016543,-7.068650337321124,-7.134357422657249,0.06570708533612546,-6.677939820208227,-6.798028059470813,0.12008823926258572,-6.0248476274628615,-6.053186510967972,0.0283388835051106
5250,7.0,-4.318136079368063,-4.790986822800914,0.4728507434328506,-7.081765541099639,-7.237182026480564,0.15541648538092545,-7.074258892549185,-7.140004947436502,0.06574605488731677,-6.683971858645279,-6.804093410081649,0.1201215514363696,-6.029865829371023,-6.058199493187711,0.02833366381668867
5250,7.25,-4.28311523799518,-4.757904927623709,0.47478968962852974,-7.0841931112311265,-7.239150293846816,0.15495718261568925,-7.0794347517613865,-7.145221471709615,0.06578671994822827,-6.689467345251526,-6.809614145823591,0.12014680057206562,-6.034434634113026,-6.062763455625561,0.028328821512534574
5250,7.5,-4.247215693199134,-4.723904990308011,0.47668929710887653,-7.086338511412567,-7.2408211098855375,0.15448259847297052,-7.084141778249336,-7.149968241180435,0.06582646293109917,-6.694429280366819,-6.814596120102156,0.1201668397353366,-6.038557019790414,-6.066881495487703,0.02832447569728913
5250,7.75,-4.212064395840166,-4.690485635441469,0.4784212396013032,-7.088093635378929,-7.242086614152672,0.15399297877374352,-7.088415364830023,-7.15427751287449,0.06586214804446655,-6.698868048446531,-6.819050447567122,0.12018239912059059,-6.04224552883456,-6.07056626364281,0.02832073480825059
5250,8.0,-4.178292606178669,-4.658257838695576,0.47996523251690704,-7.089416722335102,-7.242905183582419,0.15348846124731708,-7.092479376857359,-7.158370675455938,0.06589129859857934,-6.7029320672343395,-6.823128974717097,0.12019690748275735,-6.045615281635733,-6.073932177872386,0.028316896236653122
5250,8.25,-4.146140357743079,-4.6274526123385975,0.48131225459551885,-7.090290824761105,-7.243260853125808,0.15297002836470242,-7.09655268521205,-7.162466070691824,0.06591338547977443,-6.706747750171434,-6.826957638305068,0.12020988813363331,-6.04877299847,-6.077086288484743,0.028313290014743586
5250,8.5,-4.115552533432915,-4.5980489029239955,0.48249636949108066,-7.090689926906297,-7.24313155336478,0.15244162645848292,-7.100743910383613,-7.166672006707994,0.0659280963243809,-6.710435835104498,-6.830659942315624,0.12022410721112564,-6.0518215697932725,-6.0801314715764185,0.028309901783146074
5250,8.75,-4.086486643502827,-4.570033594689296,0.48354695118646873,-7.090697588257033,-7.242599230127077,0.15190164187004385,-7.105063789287641,-7.171002554461971,0.06593876517433017,-6.714137612965462,-6.83437864077116,0.12024102780569734,-6.054871897312228,-6.083178419308371,0.02830652199614292
5250,9.0,-4.058951457647304,-4.543429616347524,0.48447815870022026,-7.0903404383973765,-7.241689440841899,0.15134900244452254,-7.109460153530037,-7.175407699946316,0.06594754641627887,-6.717894658894689,-6.838155059591401,0.1202604006967114,-6.057967099138143,-6.086269960341799,0.028302861203655993
5250,9.25,-4.033079454997928,-4.518365612192877,0.48528615719494894,-7.089659451706677,-7.240446888352665,0.15078743664598804,-7.113902878309364,-7.179858413905148,0.06595553559578349,-6.721769376351016,-6.842052468107287,0.12028309175627072,-6.061151477206511,-6.08945068706219,0.028299209855678242
5250,9.5,-4.009086038167304,-4.495030467117683,0.48594442895037915,-7.088712500219671,-7.238931441017513,0.15021894079784204,-7.118402626994708,-7.184364800370826,0.06596217337611776,-6.7258068066346155,-6.846115751143188,0.12030894450857232,-6.064462575748362,-6.092757710936958,0.028295135188596277
5500,6.5,-4.827175252432976,-5.289474251940458,0.46229899950748177,-7.355286551042255,-7.515520821850675,0.16023427080842012,-7.26859573368375,-7.336284640461571,0.06768890677782124,-6.842244193949345,-6.962362507994044,0.1201183140446993,-6.162173966450425,-6.1903694653348325,0.028195498884407755
5500,6.75,-4.8080354848406515,-5.271486347231612,0.46345086239096034,-7.358551090673036,-7.518455915391616,0.15990482471858058,-7.27512740783342,-7.342843549406403,0.06771614157298345,-6.849417080155842,-6.969575233589982,0.12015815343414005,-6.168195104491414,-6.1963845973859115,0.028189492894497903
5500,7.0,-4.7905827513841395,-5.2550562950947075,0.46447354371056804,-7.3611437492511484,-7.520769349729736,0.15962560047858787,-7.28052333908369,-7.348259208921256,0.0677358698375663,-6.855548308605517,-6.975741371664963,0.1201930630594461,-6.173313181834878,-6.2014979797588445,0.028184797923966443
5500,7.25,-4.7671713448056785,-5.232995517466691,0.46582417266101217,-7.365075035256751,-7.524341469585817,0.15926643432906573,-7.286082382106731,-7.353877664125427,0.06779528201869667,-6.86146193049618,-6.981684234606487,0.12022230411030677,-6.178269353207714,-6.206448561756947,0.028179208549232726
5500,7.5,-4.738087832657328,-5.205661150737782,0.4675733180804542,-7.369148180635005,-7.527997975558051,0.15884979492304652,-7.292644789209174,-7.360496174561941,0.06785138535276758,-6.867938935961082,-6.988186009873761,0.12024707391267953,-6.183699293816428,-6.211872301981007,0.028173008164579016
5500,7.75,-4.706365013236226,-5.1757977606717205,0.46943274743549424,-7.372978857858975,-7.531399830703812,0.15842097284483714,-7.298878956461824,-7.36677707526901,0.06789811880718588,-6.874508857728699,-6.994779629107057,0.12027077137835818,-6.189212783404091,-6.217379979865974,0.028167196461883037
5500,8.0,-4.674006805638392,-5.145232523095281,0.471225717456889,-7.376347487252378,-7.534327540174491,0.15798005292211315,-7.304464339678116,-7.372405443320265,0.06794110364214845,-6.880439743264308,-7.00073059382694,0.12029085056263256,-6.1941887820603405,-6.222350841090833,0.028162059030492514
5500,8.25,-4.642177565914569,-5.115048841857686,0.47287127594311684,-7.379168363742302,-7.536688430551536,0.15752006680923358,-7.309570066425106,-7.3775478361846325,0.0679777697595263,-6.885728294243869,-7.006036278933362,0.120307984689493,-6.198623830747874,-6.226781388433796,0.02815755768592254
5500,8.5,-4.611739250379756,-5.0860490590959095,0.47430980871615347,-7.381376387970608,-7.538420996981625,0.1570446090110167,-7.314469210558997,-7.382474282309804,0.06800507175080739,-6.890532648130407,-7.010855837658614,0.12032318952820731,-6.202650763080104,-6.230804051808715,0.02815328872861045
5500,8.75,-4.583089010504775,-5.058633765124373,0.4755447546195981,-7.382920487383036,-7.539480260323273,0.1565597729402377,-7.319336507073988,-7.387358151598967,0.06802164452497905,-6.894983717486934,-7.01532237481355,0.12033865732661653,-6.206376367067481,-6.234525791086941,0.02814942401946041
5500,9.0,-4.556458151985073,-5.0330305514574825,0.4765723994724098,-7.38387579857574,-7.539945156002002,0.1560693574262615,-7.324308194360839,-7.392337463903825,0.06802926954298627,-6.8992933101652305,-7.019649612874698,0.1203563027094674,-6.209977020352081,-6.238122538267056,0.028145517914975215
5500,9.25,-4.532152382893415,-5.009555142567617,0.4774027596742023,-7.384273927342001,-7.539849377232208,0.15557544989020755,-7.3292542549618425,-7.397286287817813,0.06803203285597093,-6.903482444392051,-7.023858865571736,0.12037642117968517,-6.213469102645597,-6.241610778224739,0.0281416755791426
5500,9.5,-4.510301137815812,-4.988349288014497,0.47804815019868485,-7.384197854293543,-7.539282037053049,0.15508418275950575,-7.3341378081079895,-7.402169404925139,0.06803159681714988,-6.90767513629584,-7.028075354932032,0.12040021863619188,-6.216953668099205,-6.2450914005665545,0.028137732467349963
5750,6.5,-5.205794152665405,-5.663349340337351,0.4575551876719466,-7.6057427497984875,-7.769478158713991,0.1637354089155032,-7.4525770007094,-7.522065874414476,0.06948887370507606,-6.993815618734196,-7.113968154671088,0.12015253593689224,-6.289030030808949,-6.3170900581035205,0.02806002729457191
5750,6.75,-5.19542286709931,-5.653594860840446,0.4581719937411357,-7.610657294513981,-7.774080100442728,0.16342280592874658,-7.460766864285812,-7.5302791575298045,0.06951229324399222,-7.002728957830765,-7.122922789840484,0.12019383200971845,-6.296634299353485,-6.324687613354257,0.028053314000771934
5750,7.0,-5.183725733319939,-5.642649322407497,0.4589235890875578,-7.6152091135966025,-7.778335031757738,0.16312591816113553,-7.468296261855887,-7.537834408721341,0.06953814686545456,-7.010974704684674,-7.1312066384522055,0.12023193376753127,-6.303631289069248,-6.331677991316713,0.028046702247465305
5750,7.25,-5.17369475497517,-5.633271889736736,0.4595771347615667,-7.618609930026938,-7.781484794510096,0.16287486448315747,-7.474435123691663,-7.543993378862282,0.06955825517061953,-7.017986001005305,-7.138252673253362,0.1202666722480572,-6.30955215264655,-6.337593353949405,0.028041201302855256
