Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,9.0,-3.540280974204176,-4.281296857920406,0.74101588371623,-6.696229440484178,-6.86049533982332,0.16426589933914215,-6.874462989197255,-6.98572429904187,0.11126130984461469,-6.66189713133657,-6.757770894418044,0.09587376308147455,-6.002166147884683,-6.073810968223757,0.07164482033907404
5000,9.25,-3.5086478086629356,-4.2516047028323385,0.7429568941694029,-6.694445552990711,-6.8580904660599415,0.16364491306923057,-6.878777390299991,-6.98998676781796,0.11120937751796944,-6.6658214814950405,-6.761694212964368,0.09587273146932773,-6.005634977819696,-6.07728754884991,0.07165257103021361
5000,9.5,-3.478356051395128,-4.222990591706797,0.7446345403116688,-6.692245584052145,-6.855269331942008,0.16302374788986285,-6.8831391035053855,-6.994290297711249,0.11115119420586339,-6.669932323086975,-6.765804287456437,0.09587196436946144,-6.0092721929055095,-6.080933042519728,0.07166084961421859
5250,6.5,-4.402204615634066,-5.095342150683177,0.6931375350491109,-7.00710347297623,-7.1794431409321255,0.17233966795589595,-7.0666890168888195,-7.178860960610894,0.11217194372207473,-6.8151574391445955,-6.911147473478689,0.09599003433409337,-6.13302213355929,-6.204912729536197,0.07189059597690672
5250,6.75,-4.3792399512650135,-5.075224967921077,0.6959850166560635,-7.010151235404951,-7.182413337888644,0.17226210248369256,-7.072633129376733,-7.184875848058535,0.11224271868180224,-6.8214194443759375,-6.917409896417805,0.09599045204186751,-6.138678930246044,-6.210578631075322,0.07189970082927744
5250,7.0,-4.351245070892112,-5.050517341287517,0.6992722703954044,-7.012879641318339,-7.185041193090342,0.1721615517720032,-7.078232906420176,-7.190578574485418,0.11234566806524171,-6.827489454709529,-6.923479792777368,0.09599033806783908,-6.144132054157296,-6.216043255115107,0.07191120095781045
5250,7.25,-4.319367431742062,-5.022354982642156,0.7029875509000938,-7.015463344703317,-7.187496599885783,0.17203325518246615,-7.08346725505173,-7.195964684881478,0.11249742982974809,-6.833013917013275,-6.929004734677331,0.09599081766405604,-6.149052298061228,-6.220973828652905,0.07192153059167694
5250,7.5,-4.286493692938844,-4.993133844471075,0.7066401515322305,-7.017772704693908,-7.189609273033472,0.17183656833956462,-7.08832096328134,-7.201000886602106,0.1126799233207656,-6.837998545602808,-6.9339904417055145,0.09599189610270642,-6.153464281058742,-6.225395036533641,0.07193075547489869
5250,7.75,-4.254048414484455,-4.964028137145036,0.7099797226605808,-7.019686558140947,-7.191231702806441,0.17154514466549386,-7.092850753279574,-7.205693185876068,0.11284243259649429,-6.842455480445253,-6.938448184481917,0.09599270403666438,-6.157395832419038,-6.229335007673608,0.07193917525457039
5250,8.0,-4.222668705730069,-4.935618696495158,0.7129499907650896,-7.021162118393001,-7.192310727109405,0.17114860871640403,-7.097233379973154,-7.210170304927981,0.11293692495482688,-6.846536137220873,-6.9425298109389395,0.09599367371806622,-6.160982616764841,-6.23292980303372,0.07194718626887919
5250,8.25,-4.192587566392806,-4.9081260035555765,0.7155384371627704,-7.022202761502179,-7.192888654350131,0.17068589284795266,-7.101597182287271,-7.214549269948726,0.11295208766145493,-6.850368101162509,-6.94636211886343,0.09599401770092086,-6.164348567321177,-6.236302814818515,0.07195424749733803
5250,8.5,-4.163809047422188,-4.881616820094042,0.7178077726718541,-7.022791094905795,-7.192988085789956,0.17019699088416118,-7.105977225667477,-7.218908962596135,0.11293173692865821,-6.854073312049639,-6.950067542679289,0.09599423062964973,-6.167614874964752,-6.23957604156033,0.07196116659557816
5250,8.75,-4.13635475053,-4.856155810026198,0.7198010594961985,-7.023002437642905,-7.1926964095654,0.16969397192249502,-7.110415339927716,-7.223312024670573,0.11289668474285719,-6.8577939660542135,-6.95378861022547,0.09599464417125603,-6.170904429707367,-6.2428727095434375,0.07196827983607079
5250,9.0,-4.110233120663015,-4.831792834811331,0.7215597141483165,-7.02284784780009,-7.192031007545662,0.16918315974557174,-7.114890717949596,-7.227737209337317,0.11284649138772096,-6.861574068937664,-6.957568227398642,0.0959941584609787,-6.17426849426484,-6.246244078275019,0.071975584010179
5250,9.25,-4.085565629791304,-4.808670405134251,0.7231047753429465,-7.022359925670155,-7.19103058346661,0.1686706577964543,-7.119394644463835,-7.232183216700786,0.11278857223695127,-6.865475488689665,-6.961468669845484,0.09599318115581923,-6.177756936868661,-6.249740327494525,0.07198339062586356
